id,perfil,frase
1,D,Me gusta tomar control y liderazgo.
1,I,Soy optimista y entusiasta.
1,S,Soy paciente y confiable.
1,C,Me esfuerzo por ser preciso y detallista.
2,D,Prefiero resultados rápidos y claros.
2,I,Me gusta persuadir y motivar a otros.
2,S,Busco estabilidad y evitar conflictos.
2,C,Sigo normas y procedimientos rigurosos.
3,D,Afronto desafíos con determinación.
3,I,Disfruto trabajando en equipo y socializando.
3,S,Soy calmado y metódico.
3,C,Analizo datos antes de actuar.
4,D,Me enfoco en tareas y objetivos.
4,I,Mantengo una actitud positiva ante problemas.
4,S,Me adapto a los cambios lentamente.
4,C,Prefiero seguir instrucciones claras.
5,D,Tomo decisiones rápidamente.
5,I,Soy comunicativo y expresivo.
5,S,Soy fiel a mis principios y constantes.
5,C,Me gusta la organización y la estructura.
6,D,Busco controlar los resultados.
6,I,Me gusta conocer a personas nuevas.
6,S,Soy considerado con los demás.
6,C,Soy exigente con los estándares.
7,D,Me siento cómodo tomando riesgos.
7,I,Disfruto ser el centro de atención.
7,S,Mantengo la calma en situaciones difíciles.
7,C,Prefiero la exactitud y el orden.
8,D,Me gusta desafiar el status quo.
8,I,Soy entusiasta y energético.
8,S,Me esfuerzo para evitar conflictos.
8,C,Me guío por las reglas y protocolos.
9,D,Soy directo y franco.
9,I,Me gusta animar a otros.
9,S,Estoy dispuesto a ayudar siempre.
9,C,Prefiero hacer las cosas bien desde el principio.
10,D,Trabajo bien bajo presión.
10,I,Busco reconocimiento social.
10,S,Soy paciente para escuchar.
10,C,Reviso todo minuciosamente.
11,D,Prefiero liderar proyectos importantes.
11,I,Me adapto rápido a nuevas personas.
11,S,Valoro la lealtad y confianza.
11,C,No dejo cabos sueltos.
12,D,Cuestiono procesos habituales.
12,I,Disfruto compartir ideas.
12,S,Soy metódico y constante.
12,C,Prefiero información clara y precisa.
13,D,Me concentro en alcanzar resultados concretos.
13,I,Soy carismático y sociable.
13,S,Me gusta mantener la armonía.
13,C,Soy organizado y detallista.
14,D,Tomo la iniciativa para resolver problemas.
14,I,Encuentro fácil expresar mis emociones.
14,S,Soy calmado y atento a las personas.
14,C,Prefiero la lógica frente a la emoción.
15,D,Soy competitivo y orientado a objetivos.
15,I,Me gusta inspirar a otros.
15,S,Soy confiable y paciente.
15,C,Me esfuerzo para cumplir con normas.
16,D,Intento influir en decisiones importantes.
16,I,Me comunico fácilmente con todos.
16,S,Evito los cambios bruscos.
16,C,Prefiero seguir procedimientos al pie de la letra.
17,D,Enfrento conflictos con determinación.
17,I,Soy positivo y alegre.
17,S,Soy tolerante y cuidadoso.
17,C,Soy meticuloso y puntual.
18,D,Me gusta tener el control.
18,I,Disfruto motivando equipos.
18,S,Soy predecible y constante.
18,C,Prefiero planificar cuidadosamente.
19,D,Tomo decisiones ágiles y firmes.
19,I,Busco relaciones sociales amplias.
19,S,Soy paciente y comprensivo.
19,C,Soy detallista en mi trabajo.
20,D,Soy asertivo y directo.
20,I,Me gusta convencer a otros.
20,S,Soy estable y confiable.
20,C,Evalúo y verifico todo detalladamente.
21,D,Busco enfrentar desafíos difíciles.
21,I,Soy positivo y sociable.
21,S,Evito la confrontación.
21,C,Me gusta seguir normas.
22,D,Me gusta liderar y tomar decisiones.
22,I,Me relaciono bien con diferentes personas.
22,S,Soy paciente y constante.
22,C,Soy ordenado y meticuloso.
23,D,Soy decidido y orientado a resultados.
23,I,Me gusta hacer amigos.
23,S,Mantengo la calma ante presión.
23,C,Me esfuerzo por ser preciso y detallista.
24,D,Enfrento problemas con rapidez.
24,I,Soy expresivo y vivaz.
24,S,Soy paciente y confiable.
24,C,Prefiero seguir instrucciones claras.
25,D,Me gusta influir en las personas.
25,I,Disfruto socializando.
25,S,Evito conflictos y busco consenso.
25,C,Soy riguroso y detallista.
26,D,Soy competitivo y asertivo.
26,I,Busco aprobación social.
26,S,Soy constante y calmado.
26,C,Me gusta seguir reglas.
27,D,Tomo la iniciativa en situaciones difíciles.
27,I,Me gusta animar a otros.
27,S,Soy paciente y atento.
27,C,Soy organizado y perfeccionista.
28,D,Soy un líder natural y dominante.
28,I,Soy sociable y persuasivo.
28,S,Soy estable y confiable.
28,C,Soy analítico y preciso.
